Channel_Number,AZ_Degrees,EL_Degrees,Radius_Cm
1,-14.1345,-22.3185,246
2,64.8764,-22.1088,271
3,-100.6177,-20.5376,248
4,108.5081,-16.2561,253
5,-125.3025,-14.1424,281
6,158.7944,-13.4572,236
7,-162.5914,-5.2169,215
8,-56.8728,-3.2538,278
9,-41.389,4.9246,305
10,36.8481,5.2459,277
11,-151.925,14.2265,260
12,-131.767,16.6542,266
13,-14.6042,23.0948,253
14,88.5428,23.5335,267
15,-83.1326,27.2523,269
16,121.7387,26.1311,261
17,-107.7738,27.8735,266
18,-58.5642,30.4785,280
19,59.5004,54.155,209
20,178.6913,33.7,205
21,-119.2274,31.1104,275
22,38.3598,35.5895,273
23,131.9941,53.6646,204
24,-36.8373,62.1,205
