ParticipantNumber	FrameRate	BlockCondition	BlockCount	TrialCountInExpt	TrialCountInBlock	TrialState	FrameCount	FrameStart	EyesOpen	VisualTargetPosition	AudioTargetPosition	WandPosition	WandRotation	WandDirection	CorrectedWandDirection	TargetDistance_M_raw	TargetDistance_Angle_raw	TargetDistance_VerticalAngle_raw	TargetDistance_HorizontalAngle_raw	TargetDistance_M_corr	TargetDistance_Angle_corr	TargetDistance_VerticalAngle_corr	TargetDistance_HorizontalAngle_corr	FixationDistance_M	FixationDistance_Angle	FixationDistance_VerticalAngle	FixationDistance_HorizontalAngle
zylia	60	null	0	0	0	ITI	713	23.71843	TRUE	null	null	(0.96, 0.57, -0.96)	(1.59, 97.07, 303.99)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541638	204.3107	-163.5625	-122.4344	0	15.19347	-9.95244	-11.48	0	0	0	0
zylia	60	null	0	0	0	StimOn	714	23.75701	TRUE	null	null	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541717	204.2743	-163.5377	-122.4068	0	15.19361	-9.952302	-11.48031	0	0	0	0
zylia	60	null	0	0	0	StimOn	715	23.79113	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.05, 304.01)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541684	204.2704	-163.5324	-122.4073	0	15.19409	-9.952835	-11.48048	0	0	0	0
zylia	60	null	0	0	0	StimOn	716	23.82438	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.98)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541709	204.2739	-163.5353	-122.4093	0	15.19418	-9.952894	-11.48055	0	0	0	0
zylia	60	null	0	0	0	StimOn	717	23.85711	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.60, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541717	204.2834	-163.5454	-122.4116	0	15.1937	-9.95238	-11.48036	0	0	0	0
zylia	60	null	0	0	0	StimOn	718	23.89064	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.59, 97.07, 303.92)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541673	204.3023	-163.5586	-122.4255	0	15.19382	-9.952894	-11.48007	0	0	0	0
zylia	60	null	0	0	0	StimOn	719	23.92459	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.62, 97.05, 303.98)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541707	204.2686	-163.531	-122.4061	0	15.19393	-9.952815	-11.48029	0	0	0	0
zylia	60	null	0	0	0	StimOn	720	23.95793	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.60, 97.06, 303.98)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541678	204.293	-163.5505	-122.4209	0	15.19378	-9.952737	-11.48015	0	0	0	0
zylia	60	null	0	0	0	StimOn	721	23.99074	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541733	204.2761	-163.5359	-122.4121	0	15.19388	-9.952815	-11.48022	0	0	0	0
zylia	60	null	0	0	0	StimOn	722	24.02402	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.60, 97.07, 303.98)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541656	204.3039	-163.5572	-122.4301	0	15.19393	-9.952737	-11.48036	0	0	0	0
zylia	60	null	0	0	0	StimOn	723	24.05742	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.05, 304.00)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.54171	204.2746	-163.5388	-122.4058	0	15.19353	-9.951926	-11.48053	0	0	0	0
zylia	60	null	0	0	0	StimOn	724	24.09088	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.05, 304.00)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541687	204.2728	-163.5363	-122.4061	0	15.19369	-9.952242	-11.48046	0	0	0	0
zylia	60	null	0	0	0	StimOn	725	24.12439	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.98)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541694	204.2769	-163.5382	-122.4105	0	15.1941	-9.953032	-11.48033	0	0	0	0
zylia	60	null	0	0	0	StimOn	726	24.15732	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.06, 304.02)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541672	204.2902	-163.5465	-122.4215	0	15.19403	-9.953013	-11.48024	0	0	0	0
zylia	60	null	0	0	0	StimOn	727	24.19066	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.62, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.5417	204.2704	-163.5316	-122.4082	0	15.19433	-9.953112	-11.48057	0	0	0	0
zylia	60	null	0	0	0	StimOn	728	24.22347	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.62, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541682	204.2693	-163.5291	-122.4099	0	15.19462	-9.953467	-11.48063	0	0	0	0
zylia	60	null	0	0	0	ISI	729	24.25738	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.04, 304.01)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541725	204.2691	-163.5351	-122.4015	0	15.19347	-9.952282	-11.48014	0	0	0	0
zylia	60	null	0	0	0	ISI	730	24.29046	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.60, 97.07, 303.98)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541642	204.3014	-163.5532	-122.4313	0	15.19409	-9.953211	-11.48015	0	0	0	0
zylia	60	null	0	0	0	ISI	731	24.32405	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.98)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541686	204.2783	-163.5384	-122.4125	0	15.19388	-9.952599	-11.48041	0	0	0	0
zylia	60	null	0	0	0	ISI	732	24.35712	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.98)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541723	204.2684	-163.5318	-122.4049	0	15.19406	-9.953112	-11.48021	0	0	0	0
zylia	60	null	0	0	0	ISI	733	24.39027	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.60, 97.06, 303.95)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541678	204.2879	-163.548	-122.4157	0	15.19384	-9.952697	-11.48027	0	0	0	0
zylia	60	null	0	0	0	ISI	734	24.42377	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.60, 97.07, 303.95)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541655	204.2987	-163.5521	-122.4282	0	15.19414	-9.953132	-11.48029	0	0	0	0
zylia	60	null	0	0	0	ISI	735	24.45716	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.06, 303.98)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541663	204.28	-163.5358	-122.4188	0	15.19475	-9.953349	-11.48091	0	0	0	0
zylia	60	null	0	0	0	ISI	736	24.49007	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.60, 97.07, 303.98)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541632	204.3078	-163.5588	-122.4345	0	15.19369	-9.952518	-11.48022	0	0	0	0
zylia	60	null	0	0	0	ISI	737	24.52414	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.62, 97.05, 304.00)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541677	204.2703	-163.5299	-122.4104	0	15.1949	-9.953783	-11.48074	0	0	0	0
zylia	60	null	0	0	0	ISI	738	24.55702	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.97)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541708	204.2714	-163.5325	-122.4088	0	15.19417	-9.953171	-11.48029	0	0	0	0
zylia	60	null	0	0	0	ITI	739	24.59074	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.56, 0.07, 2.21)	3.541717	204.2742	-163.5348	-122.4105	0	15.19443	-9.953329	-11.4805	0	0	0	0
zylia	60	null	0	1	1	ITI	740	24.62444	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.96)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573288	209.7591	-175.0961	-115.5	0	19.32984	-12.5653	-14.68864	0	0	0	0
zylia	60	null	0	1	1	StimOn	741	24.65742	TRUE	null	(-0.56, 0.07, 2.21)	(0.96, 0.57, -0.96)	(1.62, 97.05, 303.97)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573278	209.7494	-175.0865	-115.4969	0	19.33094	-12.56638	-14.68916	0	0	0	0
zylia	60	null	0	1	1	StimOn	742	24.69042	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.62, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573326	209.7489	-175.0871	-115.4951	0	19.33036	-12.56578	-14.68891	0	0	0	0
zylia	60	null	0	1	1	StimOn	743	24.72415	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.60, 97.08, 303.96)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573199	209.7832	-175.1068	-115.5274	0	19.33018	-12.56574	-14.6887	0	0	0	0
zylia	60	null	0	1	1	StimOn	744	24.75794	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.61, 97.06, 303.97)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573284	209.7637	-175.096	-115.5085	0	19.33073	-12.5661	-14.68912	0	0	0	0
zylia	60	null	0	1	1	StimOn	745	24.7904	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.60, 97.06, 304.00)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573299	209.7655	-175.1013	-115.5036	0	19.33005	-12.56544	-14.68879	0	0	0	0
zylia	60	null	0	1	1	StimOn	746	24.82603	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.62, 97.06, 303.98)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573267	209.7514	-175.0837	-115.5049	0	19.3312	-12.56657	-14.68934	0	0	0	0
zylia	60	null	0	1	1	StimOn	747	24.85678	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.62, 97.06, 303.98)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573283	209.7549	-175.0879	-115.5048	0	19.33096	-12.56608	-14.68943	0	0	0	0
zylia	60	null	0	1	1	StimOn	748	24.89049	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573291	209.7526	-175.0895	-115.4982	0	19.33075	-12.56605	-14.68919	0	0	0	0
zylia	60	null	0	1	1	StimOn	749	24.92379	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.60, 97.06, 303.98)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573268	209.7713	-175.1032	-115.5112	0	19.33015	-12.56536	-14.68899	0	0	0	0
zylia	60	null	0	1	1	StimOn	750	24.95705	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.61, 97.05, 304.01)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573297	209.7562	-175.092	-115.5009	0	19.33096	-12.56608	-14.68943	0	0	0	0
zylia	60	null	0	1	1	StimOn	751	24.99003	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.62, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573307	209.7489	-175.0859	-115.497	0	19.33055	-12.56591	-14.68904	0	0	0	0
zylia	60	null	0	1	1	StimOn	752	25.02373	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.61, 97.05, 304.00)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573324	209.754	-175.0933	-115.4948	0	19.32968	-12.56486	-14.6888	0	0	0	0
zylia	60	null	0	1	1	StimOn	753	25.05738	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573298	209.7525	-175.0908	-115.496	0	19.33058	-12.56588	-14.68911	0	0	0	0
zylia	60	null	0	1	1	StimOn	754	25.09068	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.62, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573289	209.7507	-175.0881	-115.4967	0	19.33051	-12.56572	-14.68915	0	0	0	0
zylia	60	null	0	1	1	StimOn	755	25.12376	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.98)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573345	209.7512	-175.0903	-115.4943	0	19.3303	-12.56558	-14.689	0	0	0	0
zylia	60	null	0	1	1	StimOn	756	25.15722	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573323	209.7555	-175.0948	-115.4953	0	19.32997	-12.56531	-14.6888	0	0	0	0
zylia	60	null	0	1	1	ISI	757	25.19049	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.59, 97.07, 303.99)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573236	209.7888	-175.1188	-115.5194	0	19.32926	-12.56481	-14.68829	0	0	0	0
zylia	60	null	0	1	1	ISI	758	25.22431	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.62, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573269	209.7487	-175.0837	-115.4998	0	19.33087	-12.56624	-14.68919	0	0	0	0
zylia	60	null	0	1	1	ISI	759	25.25762	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.61, 97.05, 304.01)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573294	209.7514	-175.0906	-115.4942	0	19.33043	-12.56566	-14.68911	0	0	0	0
zylia	60	null	0	1	1	ISI	760	25.29088	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.61, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573313	209.7526	-175.0914	-115.4952	0	19.33033	-12.56555	-14.68907	0	0	0	0
zylia	60	null	0	1	1	ISI	761	25.32419	TRUE	null	(-0.18, 0.48, 2.43)	(0.96, 0.57, -0.96)	(1.62, 97.05, 303.99)	(0.99, -0.03, -0.12)	(-0.18, 0.48, 2.43)	3.573298	209.7494	-175.0874	-115.4955	0	19.33045	-12.56575	-14.68905	0	0	0	0
