ParticipantNumber	BlockCondition	BlockCount	TrialCountInExpt	TrialCountInBlock	VisualTargetIndex	AudioTargetIndex	VisualTargetPosition	FixationPosition	AudioTargetPosition	AudioStimType	RT
zylia	null	0	1	1	null	0	null	null	(-0.56, 0.07, 2.21)	mono	null
zylia	null	0	2	2	null	0	null	null	(-0.18, 0.48, 2.43)	vbap	null
zylia	null	0	3	3	null	0	null	null	(2.27, -0.02, 1.07)	mono	null
zylia	null	0	4	4	null	0	null	null	(2.59, 0.43, 0.70)	vbap	null
zylia	null	0	5	5	null	0	null	null	(-2.28, 0.13, -0.43)	mono	null
zylia	null	0	6	6	null	0	null	null	(-2.47, 0.55, -0.03)	vbap	null
zylia	null	0	7	7	null	0	null	null	(2.30, 0.29, -0.77)	mono	null
zylia	null	0	8	8	null	0	null	null	(2.24, 0.73, -1.22)	vbap	null
zylia	null	0	9	9	null	0	null	null	(-2.22, 0.31, -1.57)	mono	null
zylia	null	0	10	10	null	0	null	null	(-2.57, 0.80, -1.21)	vbap	null
zylia	null	0	11	11	null	0	null	null	(0.83, 0.45, -2.14)	mono	null
zylia	null	0	12	12	null	0	null	null	(0.46, 0.86, -2.34)	vbap	null
zylia	null	0	13	13	null	0	null	null	(-0.64, 0.80, -2.04)	mono	null
zylia	null	0	14	14	null	0	null	null	(-1.00, 1.18, -1.93)	vbap	null
zylia	null	0	15	15	null	0	null	null	(-2.32, 0.84, 1.52)	mono	null
zylia	null	0	16	16	null	0	null	null	(-2.04, 1.33, 1.91)	vbap	null
zylia	null	0	17	17	null	0	null	null	(-2.01, 1.26, 2.28)	mono	null
zylia	null	0	18	18	null	0	null	null	(-1.55, 1.79, 2.55)	vbap	null
zylia	null	0	19	19	null	0	null	null	(1.65, 1.25, 2.21)	mono	null
zylia	null	0	20	20	null	0	null	null	(1.98, 1.73, 1.85)	vbap	null
zylia	null	0	21	21	null	0	null	null	(-1.19, 1.64, -2.22)	mono	null
zylia	null	0	22	22	null	0	null	null	(-1.48, 2.07, -1.89)	vbap	null
zylia	null	0	23	23	null	0	null	null	(-1.90, 1.76, -1.70)	mono	null
zylia	null	0	24	24	null	0	null	null	(-2.05, 2.20, -1.27)	vbap	null
